GFDL_varname,CMOR_varname,standard_name,long_name,mipTable,cmor_units
jno2,jno2,photolysis_rate_of_nitrogen_dioxide,photolysis rate of NO2,AERmon,s-1,
pod0,pod0,integral_wrt_time_of_mole_stomatal_uptake_of_ozone,Phytotoxic ozone dose,AERmon,mol m-2,
tntrs,tntrs,tendency_of_air_temperature_due_to_shortwave_heating,Shortwave heating rate,AERmon,K s-1,
tntrl,tntrl,tendency_of_air_temperature_due_to_longwave_heating,Longwave heating rate,AERmon,K s-1,
cltc,cltc,convective_cloud_area_fraction,Convective Cloud Area Fraction,AERmon,%,
pfull,pfull,air_pressure,Air Pressure,AERmon,Pa,
bldep,bldep,atmosphere_boundary_layer_thickness,Boundary Layer Depth,AERmon,m,
phalf,phalf,air_pressure,Pressure on Model Half-Levels,AERmon,Pa,
od550csaer,od550csaer,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,ambient aerosol optical thickness at 550 nm,AERmon,1,
tas,tas,air_temperature,Surface Temperature,AERhr,K,
volcello,volcello,ocean_volume,Ocean Grid-Cell Volume,Odec,m3,
zfull,zfull,height_above_reference_ellipsoid,Altitude of Model Full-Levels,fx,m,
zg500,zg500,geopotential_height,Geopotential Height at 500 hPa,AERday,m,
od550soa,od550soa,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,soa aod@550nm,AERmon,1,
tntrl,tntrl,tendency_of_air_temperature_due_to_longwave_heating,Longwave heating rate,EmonZ,K s-1,
tntrs,tntrs,tendency_of_air_temperature_due_to_shortwave_heating,Shortwave heating rate,EmonZ,K s-1,
tntrlcs,tntrlcs,tendency_of_air_temperature_due_to_longwave_heating_assuming_clear_sky,Tendency of Air Temperature due to Clear Sky Longwave Radiative Heating,EmonZ,K s-1,
tntrscs,tntrscs,tendency_of_air_temperature_due_to_shortwave_heating_assuming_clear_sky,Tendency of Air Temperature due to Clear Sky Shortwave Radiative Heating,EmonZ,K s-1,
tntc,tntc,tendency_of_air_temperature_due_to_convection,Tendency of Air Temperature due to Convection,EmonZ,K s-1,
tntscp,tntscp,tendency_of_air_temperature_due_to_stratiform_cloud_and_precipitation,Tendency of Air Temperature Due to Stratiform Clouds and Precipitation,EmonZ,K s-1,
tasmaxCrop,tasmaxCrop,air_temperature,Daily Maximum Near-Surface Air Temperature over Crop Tile,Emon,K,
tasminCrop,tasminCrop,air_temperature,Daily Minimum Near-Surface Air Temperature over Crop Tile,Emon,K,
prCrop,prCrop,precipitation_flux,Precipitation over Crop Tile,Emon,kg m-2 s-1,
tsnIs,tsnIs,temperature_in_surface_snow,Ice Sheet Snow Internal Temperature,LImon,K,
sblIs,sblIs,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,Ice Sheet Surface Snow and Ice Sublimation Flux,LImon,kg m-2 s-1,
snmIs,snmIs,surface_snow_melt_flux,Ice Sheet Surface Snow Melt,LImon,kg m-2 s-1,
mrroIs,mrroIs,runoff_flux,Ice Sheet Total Run-off,LImon,kg m-2 s-1,
sncIs,sncIs,surface_snow_area_fraction,Ice Sheet Snow Cover Percentage,LImon,%,
bigthetao,bigthetao,sea_water_conservative_temperature,Sea Water Convervative Temperature,Odec,degC,
toz,toz,equivalent_thickness_at_stp_of_atmosphere_ozone_content,Total Column Ozone,AERday,m,
cod,cod,atmosphere_optical_thickness_due_to_cloud,cloud optical depth,AERday,1,
zg10,zg10,geopotential_height,Geopotential Height at 10 hPa,AERday,m,
maxpblz,maxpblz,atmosphere_boundary_layer_thickness,maximum PBL height,AERday,m,
minpblz,minpblz,atmosphere_boundary_layer_thickness,minimum PBL height,AERday,m,
ua10,ua10,eastward_wind,Eastward Wind at 10 hPa,AERday,m s-1,
zg1000,zg1000,geopotential_height,Geopotential Height at 1000 hPa,AERday,m,
zg100,zg100,geopotential_height,Geopotential Height at 100 hPa,AERday,m,
c3h6,c3h6,mole_fraction_of_propene_in_air,C3H6  volume mixing ratio,AERmon,mol mol-1,
hcho,hcho,mole_fraction_of_formaldehyde_in_air,Formaldehyde volume mixing ratio,AERmon,mol mol-1,
wetnh4,wetnh4,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_wet_deposition,Wet Deposition Rate of NH4,AERmon,kg m-2 s-1,
c3h8,c3h8,mole_fraction_of_propane_in_air,C3H8  volume mixing ratio,AERmon,mol mol-1,
wetnh3,wetnh3,minus_tendency_of_atmosphere_mass_content_of_ammonia_due_to_wet_deposition,Wet Deposition Rate of NH3,AERmon,kg m-2 s-1,
wetso2,wetso2,minus_tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_wet_deposition,Wet Deposition Rate of SO2,AERmon,kg m-2 s-1,
wetso4,wetso4,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_wet_deposition,Wet Deposition Rate of SO4,AERmon,kg m-2 s-1,
mmrpm1,mmrpm1,mass_fraction_of_pm1_dry_aerosol_particles_in_air,PM1.0 mass mixing ratio,AERmon,kg kg-1,
photo1d,photo1d,photolysis_rate_of_ozone_to_1D_oxygen_atom,photolysis rate of O3 to O1d,AERmon,s-1,
no2,no2,mole_fraction_of_nitrogen_dioxide_in_air,NO2 volume mixing ratio,AERmon,mol mol-1,
ptp,ptp,tropopause_air_pressure,Tropopause Air Pressure,AERmon,Pa,
mmrno3,mmrno3,mass_fraction_of_nitrate_dry_aerosol_particles_in_air,NO3 aerosol mass mixing ratio,AERmon,kg kg-1,
ch3coch3,ch3coch3,mole_fraction_of_acetone_in_air,CH3COCH3  volume mixing ratio,AERmon,mol mol-1,
cdnc,cdnc,number_concentration_of_cloud_liquid_water_particles_in_air,Cloud Liquid Droplet Number Concentration,AERmon,m-3,
ztp,ztp,tropopause_altitude,Tropopause Altitude above Geoid,AERmon,m,
emidust,emidust,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_emission,total emission rate of dust,AERmon,kg m-2 s-1,
od550lt1aer,od550lt1aer,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol_particles,ambient fine mode aerosol optical thickness at 550 nm,AERmon,1,
c2h6,c2h6,mole_fraction_of_ethane_in_air,C2H6 volume mixing ratio,AERmon,mol mol-1,
c2h2,c2h2,mole_fraction_of_ethyne_in_air,C2H2 volume mixing ratio,AERmon,mol mol-1,
wetdust,wetdust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_wet_deposition,wet deposition rate of dust,AERmon,kg m-2 s-1,
o3prod,o3prod,tendency_of_atmosphere_mole_concentration_of_ozone_due_to_chemical_production,O3 production rate,AERmon,mol m-3 s-1,
mmrpm2p5,mmrpm2p5,mass_fraction_of_pm2p5_dry_aerosol_particles_in_air,PM2.5 mass mixing ratio,AERmon,kg kg-1,
emibc,emibc,tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_emission,emission rate of black carbon aerosol mass,AERmon,kg m-2 s-1,
ttop,ttop,air_temperature_at_cloud_top,air temperature at cloud top,AERmon,K,
od550bb,od550bb,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,bb aod@550nm,AERmon,1,
zg,zg,geopotential_height,Geopotential Height,AERmon,m,
mmrso4,mmrso4,mass_fraction_of_sulfate_dry_aerosol_particles_in_air,Aerosol sulfate mass mixing ratio,AERmon,kg kg-1,
wetnoy,wetnoy,minus_tendency_of_atmosphere_mass_content_of_noy_expressed_as_nitrogen_due_to_wet_deposition,Wet Deposition Rate of NOy including Aerosol Nitrate,AERmon,kg m-2 s-1,
co2,co2,mole_fraction_of_carbon_dioxide_in_air,CO2 volume mixing ratio,AERmon,mol mol-1,
dryo3,dryo3,minus_tendency_of_atmosphere_mass_content_of_ozone_due_to_dry_deposition,dry deposition rate of o3,AERmon,kg m-2 s-1,
abs550aer,abs550aer,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,ambient aerosol absorption optical thickness at 550 nm,AERmon,1,
od550ss,od550ss,atmosphere_optical_thickness_due_to_sea_salt_ambient_aerosol_particles,sea salt aod@550nm,AERmon,1,
o3loss,o3loss,tendency_of_atmosphere_mole_concentration_of_ozone_due_to_chemical_destruction,O3 destruction rate,AERmon,mol m-3 s-1,
mmrss,mmrss,mass_fraction_of_sea_salt_dry_aerosol_particles_in_air,Sea Salt mass mixing ratio,AERmon,kg kg-1,
chepsoa,chepsoa,tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_particles_due_to_net_chemical_production,chemical production of dry aerosol secondary organic matter,AERmon,kg m-2 s-1,
mmrdust,mmrdust,mass_fraction_of_dust_dry_aerosol_particles_in_air,Dust aerosol mass mixing ratio,AERmon,kg kg-1,
o3,o3,mole_fraction_of_ozone_in_air,Ozone volume mixing ratio,AERmon,mol mol-1,
hcl,hcl,mole_fraction_of_hydrogen_chloride_in_air,HCl volume mixing ratio,AERmon,mol mol-1,
emioa,emioa,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_net_chemical_production_and_emission,primary emission and chemical production of dry aerosol organic matter,AERmon,kg m-2 s-1,
airmass,airmass,atmosphere_mass_of_air_per_unit_area,Vertically integrated mass content of air in layer,AERmon,kg m-2,
od440aer,od440aer,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,ambient aerosol optical thickness at 440 nm,AERmon,1,
wa,wa,upward_air_velocity,Upward Air Velocity,AERmon,m s-1,
reffclwtop,reffclwtop,effective_radius_of_cloud_liquid_water_particle_at_liquid_water_cloud_top,cloud-top effective droplet radius,AERmon,m,
emiso4,emiso4,tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_emission,total direct emission rate of so4,AERmon,kg m-2 s-1,
isop,isop,mole_fraction_of_isoprene_in_air,Isoprene volume mixing ratio,AERmon,mol mol-1,
mmrsoa,mmrsoa,mass_fraction_of_secondary_particulate_organic_matter_dry_aerosol_particles_in_air,Secondary organic aerosol mass mixing ratio,AERmon,kg kg-1,
toz,toz,equivalent_thickness_at_stp_of_atmosphere_ozone_content,Total Ozone Column,AERmon,m,
od550so4,od550so4,atmosphere_optical_thickness_due_to_sulfate_ambient_aerosol_particles,sulfate aod@550nm,AERmon,1,
oh,oh,mole_fraction_of_hydroxyl_radical_in_air,OH volume mixing ratio,AERmon,mol mol-1,
mmrbc,mmrbc,mass_fraction_of_elemental_carbon_dry_aerosol_particles_in_air,Elemental carbon mass mixing ratio,AERmon,kg kg-1,
cod,cod,atmosphere_optical_thickness_due_to_cloud,cloud optical depth,AERmon,1,
dryoa,dryoa,minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_dry_deposition,dry deposition rate of dry aerosol total organic matter,AERmon,kg m-2 s-1,
emiss,emiss,tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_emission,total emission rate of seasalt,AERmon,kg m-2 s-1,
wetoa,wetoa,minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_wet_deposition,Wet Deposition Rate of Dry Aerosol Total Organic Matter,AERmon,kg m-2 s-1,
emibvoc,emibvoc,tendency_of_atmosphere_mass_content_of_biogenic_nmvoc_expressed_as_carbon_due_to_emission,total emission rate of biogenic nmvoc,AERmon,kg m-2 s-1,
co,co,mole_fraction_of_carbon_monoxide_in_air,CO volume mixing ratio,AERmon,mol mol-1,
dryso4,dryso4,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,dry deposition rate of so4,AERmon,kg m-2 s-1,
dryso2,dryso2,minus_tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_dry_deposition,dry deposition rate of so2,AERmon,kg m-2 s-1,
wetbc,wetbc,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_wet_deposition,wet deposition rate of black carbon aerosol mass,AERmon,kg m-2 s-1,
lwp,lwp,atmosphere_mass_content_of_cloud_liquid_water,liquid water path,AERmon,kg m-2,
drybc,drybc,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,dry deposition rate of black carbon aerosol mass,AERmon,kg m-2 s-1,
hno3,hno3,mole_fraction_of_nitric_acid_in_air,HNO3 volume mixing ratio,AERmon,mol mol-1,
chepasoa,chepasoa,tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_particles_due_to_net_chemical_production,total net production of anthropogenic secondary organic aerosol,AERmon,kg m-2 s-1,
tatp,tatp,tropopause_air_temperature,Tropopause Air Temperature,AERmon,K,
drynh3,drynh3,minus_tendency_of_atmosphere_mass_content_of_ammonia_due_to_dry_deposition,dry deposition rate of nh3,AERmon,kg m-2 s-1,
od550bc,od550bc,atmosphere_optical_thickness_due_to_black_carbon_ambient_aerosol,black carbon aod@550nm,AERmon,1,
drynh4,drynh4,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition,dry deposition rate of nh4,AERmon,kg m-2 s-1,
od550dust,od550dust,atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,dust aod@550nm,AERmon,1,
emianox,emianox,tendency_of_atmosphere_mass_content_of_nox_expressed_as_nitrogen_due_to_emission,anthropogenic emission rate of nox,AERmon,kg m-2 s-1,
mmrnh4,mmrnh4,mass_fraction_of_ammonium_dry_aerosol_particles_in_air,NH4 mass mixing ratio,AERmon,kg kg-1,
so2,so2,mole_fraction_of_sulfur_dioxide_in_air,SO2 volume mixing ratio,AERmon,mol mol-1,
emiaoa,emiaoa,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_net_chemical_production_and_emission,total emission of anthropogenic  organic aerosol,AERmon,kg m-2 s-1,
emiaco,emiaco,tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission,total emission rate of anthropogenic co,AERmon,kg m-2 s-1,
chegpso4,chegpso4,tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_gaseous_phase_net_chemical_production,Gas-phase production rate of SO4,AERmon,kg m-2 s-1,
emilnox,emilnox,tendency_of_atmosphere_moles_of_nox_expressed_as_nitrogen,layer-integrated lightning production of NOx,AERmon,mol s-1,
eminox,eminox,tendency_of_atmosphere_mass_content_of_nox_expressed_as_nitrogen_due_to_emission,total emission rate of nox,AERmon,kg m-2 s-1,
dms,dms,mole_fraction_of_dimethyl_sulfide_in_air,DMS volume mixing ratio,AERmon,mol mol-1,
ch4,ch4,mole_fraction_of_methane_in_air,CH4 volume mixing ratio,AERmon,mol mol-1,
ua,ua,eastward_wind,Eastward Wind,AERmon,m s-1,
va,va,northward_wind,Northward Wind,AERmon,m s-1,
n2o,n2o,mole_fraction_of_nitrous_oxide_in_air,N2O volume mixing ratio,AERmon,mol mol-1,
mmroa,mmroa,mass_fraction_of_particulate_organic_matter_dry_aerosol_particles_in_air,Total organic aerosol mass mixing ratio,AERmon,kg kg-1,
